# Radius () 	 Magnitude Contrast 	 Error
 0.330 	  2.626 	  0.525 
 0.660 	  3.939 	  1.181 
 0.990 	  5.253 	  0.378 
 1.320 	  5.758 	  0.559 
 1.650 	  5.960 	  0.452 
 1.980 	  6.061 	  0.358 
 2.310 	  6.566 	  0.257 
 2.640 	  6.970 	  0.185 
 2.970 	  7.172 	  0.145 
 3.300 	  7.374 	  0.156 
 3.630 	  7.475 	  0.140 
 3.960 	  7.475 	  0.226 
 4.290 	  7.677 	  0.350 
 4.620 	  7.879 	  0.282 
 4.950 	  7.778 	  0.434 
 5.280 	  7.980 	  0.556 
 5.610 	  8.081 	  0.231 
 5.940 	  8.283 	  0.587 
 6.270 	  8.182 	  0.139 
 6.600 	  8.687 	  0.382 
 6.930 	  8.182 	  nan 
