frame	OBJECT	ITIME_s	FILT1NAM	FILT2NAM	HA	RA	DEC	LOOPSTAT	LASONSKY	LAMPS_ON
s0079.fits	dome flat	12.0	Ks	Open	00:00:12.76	15:21:42.06	37:28:06.8	Open	off	Red(LAMPSTA2=on)
s0080.fits	dome flat	12.0	Ks	Open	00:00:12.76	15:22:30.25	37:28:05.4	Open	off	Red(LAMPSTA2=on)
s0081.fits	dome flat	12.0	Ks	Open	00:00:12.76	15:23:01.37	37:28:04.5	Open	off	Red(LAMPSTA2=on)
s0082.fits	dome flat	12.0	Ks	Open	00:00:12.76	15:23:31.48	37:28:03.7	Open	off	Red(LAMPSTA2=on)
s0083.fits	dome flat	12.0	Ks	Open	00:00:12.76	15:24:02.61	37:28:02.8	Open	off	Red(LAMPSTA2=on)
s0084.fits	dome flat	12.0	Ks	Open	00:00:12.76	15:24:32.72	37:28:01.9	Open	off	Red(LAMPSTA2=on)
s0085.fits	dome flat	12.0	Ks	Open	00:00:12.76	15:25:04.85	37:28:01.0	Open	off	Red(LAMPSTA2=on)
s0086.fits	dome flat	12.0	Ks	Open	00:00:12.76	15:25:35.97	37:28:00.1	Open	off	Red(LAMPSTA2=on)
s0087.fits	dome flat	12.0	Ks	Open	00:00:12.76	15:26:06.08	37:27:59.3	Open	off	Red(LAMPSTA2=on)
s0088.fits	dome flat	12.0	Ks	Open	00:00:12.76	15:26:37.20	37:27:58.4	Open	off	Red(LAMPSTA2=on)
s0089.fits	dome flat	12.0	Ks	Open	00:00:12.76	15:27:07.32	37:27:57.5	Open	off	Red(LAMPSTA2=on)
s0090.fits	dome flat	18.0	H	Open	00:00:12.76	15:27:54.50	37:27:56.2	Open	off	Red(LAMPSTA2=on)
s0091.fits	dome flat	18.0	H	Open	00:00:12.76	15:29:05.78	37:27:54.1	Open	off	Red(LAMPSTA2=on)
s0092.fits	dome flat	18.0	H	Open	00:00:12.76	15:29:42.92	37:27:53.1	Open	off	Red(LAMPSTA2=on)
s0093.fits	dome flat	18.0	H	Open	00:00:12.76	15:30:19.06	37:27:52.0	Open	off	Red(LAMPSTA2=on)
s0094.fits	dome flat	18.0	H	Open	00:00:12.76	15:30:56.20	37:27:50.9	Open	off	Red(LAMPSTA2=on)
s0095.fits	dome flat	18.0	H	Open	00:00:12.76	15:31:32.34	37:27:49.9	Open	off	Red(LAMPSTA2=on)
s0096.fits	dome flat	18.0	H	Open	00:00:12.76	15:32:08.48	37:27:48.8	Open	off	Red(LAMPSTA2=on)
s0097.fits	dome flat	18.0	H	Open	00:00:12.76	15:32:45.62	37:27:47.7	Open	off	Red(LAMPSTA2=on)
s0098.fits	dome flat	18.0	H	Open	00:00:12.76	15:33:21.76	37:27:46.7	Open	off	Red(LAMPSTA2=on)
s0099.fits	dome flat	18.0	H	Open	00:00:12.76	15:33:58.90	37:27:45.6	Open	off	Red(LAMPSTA2=on)
s0100.fits	dome flat	18.0	H	Open	00:00:12.76	15:34:35.04	37:27:44.5	Open	off	Red(LAMPSTA2=on)
s0101.fits	dome flat	60.0	J	Open	00:00:12.76	15:35:26.23	37:27:43.0	Open	off	Red(LAMPSTA2=on)
s0102.fits	dome flat	60.0	J	Open	00:00:12.76	15:39:16.10	37:27:36.2	Open	off	Red(LAMPSTA2=on)
s0103.fits	dome flat	60.0	J	Open	00:00:12.76	15:40:46.44	37:27:33.5	Open	off	Red(LAMPSTA2=on)
s0104.fits	dome flat	60.0	J	Open	00:00:12.76	15:42:16.78	37:27:30.8	Open	off	Red(LAMPSTA2=on)
s0105.fits	dome flat	60.0	J	Open	00:00:12.76	15:43:47.12	37:27:28.1	Open	off	Red(LAMPSTA2=on)
s0106.fits	dome flat	60.0	J	Open	00:00:12.76	15:45:17.46	37:27:25.3	Open	off	Red(LAMPSTA2=on)
s0107.fits	dome flat	60.0	J	Open	00:00:12.76	15:46:48.80	37:27:22.6	Open	off	Red(LAMPSTA2=on)
s0108.fits	dome flat	60.0	J	Open	00:00:12.76	15:48:19.14	37:27:19.8	Open	off	Red(LAMPSTA2=on)
s0109.fits	dome flat	60.0	J	Open	00:00:12.76	15:49:49.47	37:27:17.0	Open	off	Red(LAMPSTA2=on)
s0110.fits	dome flat	60.0	J	Open	00:00:12.76	15:51:19.80	37:27:14.2	Open	off	Red(LAMPSTA2=on)
s0111.fits	dome flat	60.0	J	Open	00:00:12.76	15:52:50.14	37:27:11.4	Open	off	Red(LAMPSTA2=on)
s0112.fits	dark	12.0	BrG-2.16	Blank25	00:00:12.76	15:56:30.95	37:27:04.6	Open	off	
s0113.fits	dark	12.0	BrG-2.16	Blank25	00:00:12.76	15:57:02.06	37:27:03.6	Open	off	
s0114.fits	dark	12.0	BrG-2.16	Blank25	00:00:12.76	15:57:33.17	37:27:02.6	Open	off	
s0115.fits	dark	12.0	BrG-2.16	Blank25	00:00:12.76	15:58:03.28	37:27:01.7	Open	off	
s0116.fits	dark	12.0	BrG-2.16	Blank25	00:00:12.76	15:58:34.40	37:27:00.7	Open	off	
s0117.fits	dark	12.0	BrG-2.16	Blank25	00:00:12.76	15:59:04.50	37:26:59.7	Open	off	
