frame	OBJECT	ITIME_s	FILT1NAM	FILT2NAM	HA	RA	DEC	LOOPSTAT	LASONSKY	LAMPS_ON
s0118.fits	dark	12.0	BrG-2.16	Blank25	00:00:12.76	15:59:34.61	37:26:58.8	Open	off	
s0119.fits	dark	12.0	BrG-2.16	Blank25	00:00:12.76	16:00:05.73	37:26:57.8	Open	off	
s0120.fits	dark	12.0	BrG-2.16	Blank25	00:00:12.76	16:00:36.84	37:26:56.8	Open	off	
s0121.fits	dark	12.0	BrG-2.16	Blank25	00:00:12.76	16:01:06.95	37:26:55.9	Open	off	
s0122.fits	dark	12.0	BrG-2.16	Blank25	00:00:12.76	16:01:38.06	37:26:54.9	Open	off	
s0123.fits	dark	18.0	BrG-2.16	Blank25	00:00:12.76	16:02:08.17	37:26:53.9	Open	off	
s0124.fits	dark	18.0	BrG-2.16	Blank25	00:00:12.76	16:02:45.30	37:26:52.8	Open	off	
s0125.fits	dark	18.0	BrG-2.16	Blank25	00:00:12.76	16:03:21.43	37:26:51.6	Open	off	
s0126.fits	dark	18.0	BrG-2.16	Blank25	00:00:12.76	16:03:58.57	37:26:50.4	Open	off	
s0127.fits	dark	18.0	BrG-2.16	Blank25	00:00:12.76	16:04:34.70	37:26:49.3	Open	off	
s0128.fits	dark	18.0	BrG-2.16	Blank25	00:00:12.76	16:05:10.83	37:26:48.1	Open	off	
s0129.fits	dark	18.0	BrG-2.16	Blank25	00:00:12.76	16:05:47.96	37:26:46.9	Open	off	
s0130.fits	dark	18.0	BrG-2.16	Blank25	00:00:12.76	16:06:24.09	37:26:45.8	Open	off	
s0131.fits	dark	18.0	BrG-2.16	Blank25	00:00:12.76	16:07:01.22	37:26:44.6	Open	off	
s0132.fits	dark	18.0	BrG-2.16	Blank25	00:00:12.76	16:07:37.35	37:26:43.4	Open	off	
s0133.fits	dark	18.0	BrG-2.16	Blank25	00:00:12.76	16:08:13.48	37:26:42.2	Open	off	
s0134.fits	dark	60.0	BrG-2.16	Blank25	00:00:12.76	16:08:50.61	37:26:41.0	Open	off	
s0135.fits	dark	60.0	BrG-2.16	Blank25	00:00:12.76	16:10:20.93	37:26:38.1	Open	off	
s0136.fits	dark	60.0	BrG-2.16	Blank25	00:00:12.76	16:11:51.25	37:26:35.2	Open	off	
s0137.fits	dark	60.0	BrG-2.16	Blank25	00:00:12.76	16:13:21.57	37:26:32.3	Open	off	
s0138.fits	dark	60.0	BrG-2.16	Blank25	00:00:12.76	16:14:52.90	37:26:29.3	Open	off	
s0139.fits	dark	60.0	BrG-2.16	Blank25	00:00:12.76	16:26:43.36	37:26:05.8	Open	off	
s0140.fits	dark	60.0	BrG-2.16	Blank25	00:00:12.76	16:29:12.87	37:26:00.7	Open	off	
s0141.fits	dark	60.0	BrG-2.16	Blank25	00:00:12.76	16:30:43.18	37:25:57.7	Open	off	
s0142.fits	dark	60.0	BrG-2.16	Blank25	00:00:12.76	16:32:13.49	37:25:54.6	Open	off	
s0143.fits	dark	60.0	BrG-2.16	Blank25	00:00:12.76	16:33:43.79	37:25:51.6	Open	off	
s0144.fits	dark	60.0	BrG-2.16	Blank25	00:00:12.76	16:35:14.10	37:25:48.5	Open	off	
s0145.fits	dark	60.0	BrG-2.16	Blank25	00:00:12.76	16:36:45.40	37:25:45.4	Open	off	
s0146.fits	HD 183362	1.5	J	Open	00:28:24.58	19:27:36.39	37:56:27.7	Open	off	
s0147.fits	HD 183362	1.5	Ks	Open	00:28:57.45	19:27:36.42	37:56:27.7	Open	off	
s0148.fits	HD 183362	1.5	Ks	Open	00:29:25.64	19:27:36.42	37:56:27.8	Open	off	
s0149.fits	HD 183362	1.5	Ks	Open	00:30:52.18	19:27:36.41	37:56:27.8	Closed	off	
s0150.fits	HD 183362	1.5	Ks	Open	00:31:01.58	19:27:36.42	37:56:27.8	Closed	off	
s0151.fits	HD 183362	1.5	Ks	Open	00:31:16.62	19:27:36.40	37:56:27.7	Closed	off	
s0152.fits	HD 183362	1.5	Ks	Open	00:31:28.84	19:27:36.41	37:56:27.7	Closed	off	
s0153.fits	HD 183362	1.5	Ks	Open	00:31:39.18	19:27:36.40	37:56:27.8	Closed	off	
s0154.fits	HD 183362	1.5	Ks	Open	00:31:56.09	19:27:36.41	37:56:27.8	Closed	off	
s0155.fits	HD 183362	1.5	Ks	Open	00:32:13.95	19:27:36.41	37:56:27.9	Closed	off	
s0156.fits	HD 183362	1.5	Ks	Open	00:32:31.84	19:27:36.40	37:56:27.7	Closed	off	
s0157.fits	HD 183362	1.5	Ks	Open	00:32:47.83	19:27:36.39	37:56:27.7	Closed	off	
s0158.fits	HD 183362	1.5	Ks	Open	00:33:20.70	19:27:36.41	37:56:27.7	Closed	off	
s0159.fits	HD 183362	1.5	Ks	Open	00:33:38.55	19:27:36.42	37:56:27.8	Closed	off	
s0160.fits	HD 183362	1.5	Ks	Open	00:33:48.93	19:27:36.38	37:56:27.7	Closed	off	
s0161.fits	HD 183362	1.5	Ks	Open	00:33:59.23	19:27:36.41	37:56:27.7	Closed	off	
s0162.fits	HD 183362	1.5	Ks	Open	00:34:08.63	19:27:36.41	37:56:27.8	Closed	off	
s0163.fits	HD 183362	1.5	Ks	Open	00:34:30.24	19:27:36.41	37:56:27.7	Closed	off	
s0164.fits	HD 183362	1.5	Ks	Open	00:34:46.22	19:27:36.40	37:56:27.8	Closed	off	
s0165.fits	HD 183362	1.5	Ks	Open	00:35:18.18	19:27:36.41	37:56:28.1	Closed	off	
s0166.fits	HD 183362	1.5	Ks	Open	00:35:47.36	19:27:36.37	37:56:27.9	Closed	off	
s0167.fits	HD 183362	1.5	Ks	Open	00:35:52.03	19:27:36.39	37:56:27.8	Closed	off	
s0168.fits	HD 183362	1.5	Ks	Open	00:36:02.35	19:27:36.42	37:56:27.8	Closed	off	
s0169.fits	HD 183362	1.5	Ks	Open	00:36:24.05	19:27:36.39	37:56:27.9	Closed	off	
s0170.fits	HD 183362	1.5	Ks	Open	00:36:38.07	19:27:36.41	37:56:28.2	Closed	off	
s0171.fits	HD 183362	1.5	Ks	Open	00:36:49.34	19:27:36.40	37:56:28.1	Closed	off	
s0172.fits	HD 183362	1.5	Ks	Open	00:37:08.14	19:27:36.41	37:56:28.1	Closed	off	
s0173.fits	HD 183362	1.5	Ks	Open	00:37:22.22	19:27:36.43	37:56:28.0	Closed	off	
s0174.fits	HD 183362	1.5	Ks	Open	00:37:32.57	19:27:36.41	37:56:28.0	Closed	off	
s0175.fits	HD 183362	1.5	Ks	Open	00:37:42.95	19:27:36.38	37:56:27.9	Closed	off	
s0176.fits	HD 183362	1.5	Ks	Open	00:38:09.22	19:27:36.42	37:56:27.8	Closed	off	
s0177.fits	HD 183362	1.5	Ks	Open	00:38:24.27	19:27:36.40	37:56:27.7	Closed	off	
s0178.fits	HD 183362	1.5	Ks	Open	00:39:34.82	19:27:36.41	37:56:27.8	Closed	off	
s0179.fits	HD 183362	1.5	Ks	Open	00:39:40.59	19:27:36.45	37:56:27.9	Closed	off	
s0180.fits	HD 183362	1.5	Ks	Open	00:39:48.14	19:27:36.37	37:56:27.7	Closed	off	
s0181.fits	HD 183362	1.5	Ks	Open	00:39:58.43	19:27:36.40	37:56:28.2	Closed	off	
s0182.fits	HD 183362	1.5	Ks	Open	00:40:15.48	19:27:36.38	37:56:28.3	Closed	off	
s0183.fits	HD 183362	1.5	Ks	Open	00:40:31.37	19:27:36.40	37:56:27.8	Closed	off	
s0184.fits	HD 183362	1.5	Ks	Open	00:40:36.10	19:27:36.40	37:56:28.1	Closed	off	
s0185.fits	HD 183362	1.5	Ks	Open	00:41:44.83	19:27:36.36	37:56:27.9	Closed	off	
s0186.fits	HD 183362	1.5	Ks	Open	00:41:57.91	19:27:36.41	37:56:27.8	Closed	off	
s0187.fits	HD 183362	1.5	Ks	Open	00:42:11.10	19:27:36.40	37:56:28.1	Closed	off	
s0188.fits	HD 183362	1.5	Ks	Open	00:42:24.25	19:27:36.39	37:56:27.8	Closed	off	
s0189.fits	HD 183362	1.5	Ks	Open	00:42:53.30	19:27:36.40	37:56:27.8	Closed	off	
s0190.fits	HD 183362	1.5	Ks	Open	00:43:46.98	19:27:36.35	37:56:27.6	Closed	off	
s0191.fits	HD 183362	1.5	Ks	Open	00:43:58.17	19:27:36.41	37:56:28.6	Closed	off	
s0192.fits	HD 183362	1.5	Ks	Open	00:44:02.89	19:27:36.42	37:56:28.2	Closed	off	
s0193.fits	HD 183362	1.5	Ks	Open	00:44:18.89	19:27:36.37	37:56:28.0	Closed	off	
s0194.fits	HD 183362	1.5	Ks	Open	00:44:30.13	19:27:36.40	37:56:28.7	Closed	off	
s0195.fits	HD 183362	1.5	Ks	Open	00:44:48.01	19:27:36.41	37:56:27.8	Closed	off	
s0196.fits	HD 183362	1.5	Ks	Open	00:44:52.70	19:27:36.41	37:56:27.8	Closed	off	
s0197.fits	HD 183362	6.0	Ks	Open	00:45:09.60	19:27:36.42	37:56:28.0	Closed	off	
s0198.fits	HD 183362	6.0	Ks	Open	00:45:37.77	19:27:36.41	37:56:28.1	Closed	off	
s0199.fits	HD 183362	6.0	Ks	Open	00:45:53.75	19:27:36.41	37:56:28.0	Closed	off	
s0200.fits	HD 183362	6.0	Ks	Open	00:46:09.74	19:27:36.41	37:56:27.8	Closed	off	
s0201.fits	HD 183362	6.0	Ks	Open	00:46:25.73	19:27:36.40	37:56:27.7	Closed	off	
s0202.fits	HD 183362	6.0	Ks	Open	00:46:40.74	19:27:36.39	37:56:28.3	Closed	off	
s0203.fits	HD 183362	6.0	Ks	Open	00:46:58.58	19:27:36.42	37:56:28.2	Closed	off	
s0204.fits	HD 183362	6.0	Ks	Open	00:47:12.72	19:27:36.41	37:56:27.8	Closed	off	
s0205.fits	HD 183362	6.0	Ks	Open	00:47:38.09	19:27:36.41	37:56:27.8	Closed	off	
s0206.fits	HD 183362	6.0	Ks	Open	00:47:51.26	19:27:36.40	37:56:27.7	Closed	off	
s0207.fits	HD 183362	6.0	Ks	Open	00:49:34.68	19:27:36.40	37:56:27.1	Closed	off	
s0208.fits	TOI-6158	240.0	Ks	Open	-1:42:45.83	22:15:35.02	16:17:06.8	Closed	off	
s0209.fits	TOI-6158	240.0	Ks	Open	-1:36:08.28	22:15:34.98	16:17:06.6	Closed	off	
s0210.fits	TIC_283410775	30.0	Ks	Open	-1:12:55.75	22:01:14.01	28:18:25.8	Closed	off	
s0211.fits	TIC_283410775	30.0	Ks	Open	-1:10:29.46	22:01:14.38	28:18:29.3	Closed	off	
s0212.fits	TIC_283410775	30.0	Ks	Open	-1:07:23.45	22:01:14.38	28:18:26.1	Closed	off	
s0213.fits	TIC_283410775	30.0	Ks	Open	-1:06:02.60	22:01:14.42	28:18:30.6	Closed	off	
s0214.fits	TIC_283410775	30.0	Ks	Open	-1:04:38.86	22:01:14.39	28:18:30.3	Closed	off	
s0215.fits	TIC_283410775	20.0	Ks	Open	-1:03:16.13	22:01:14.36	28:18:30.0	Closed	off	
s0216.fits	TIC_283410775	20.0	Ks	Open	-1:02:32.02	22:01:14.39	28:18:30.2	Closed	off	
s0217.fits	TIC_283410775	20.0	Ks	Open	-1:01:53.48	22:01:14.38	28:18:30.5	Closed	off	
s0218.fits	TIC_283410775	20.0	Ks	Open	-1:01:16.82	22:01:14.37	28:18:30.0	Closed	off	
s0219.fits	TIC_283410775	20.0	Ks	Open	-1:00:38.29	22:01:14.38	28:18:30.4	Closed	off	
s0220.fits	TIC_283410775	20.0	Ks	Open	-1:00:00.74	22:01:14.38	28:18:31.1	Closed	off	
s0221.fits	TIC_283410775	20.0	Ks	Open	-0:59:23.12	22:01:14.38	28:18:30.7	Closed	off	
s0222.fits	TIC_283410775	20.0	Ks	Open	-0:58:44.59	22:01:14.36	28:18:31.6	Closed	off	
s0223.fits	TIC_283410775	20.0	Ks	Open	-0:58:06.97	22:01:14.36	28:18:30.3	Closed	off	
s0224.fits	TIC_283410775	20.0	Ks	Open	-0:57:28.43	22:01:14.39	28:18:30.3	Closed	off	
s0225.fits	TIC_283410775	20.0	Ks	Open	-0:56:50.75	22:01:14.39	28:18:30.1	Closed	off	
s0226.fits	TIC_283410775	20.0	Ks	Open	-0:56:04.76	22:01:14.40	28:18:29.8	Closed	off	
s0227.fits	TIC_283410775	20.0	Ks	Open	-0:55:27.16	22:01:14.37	28:18:30.1	Closed	off	
s0228.fits	TIC_283410775	20.0	Ks	Open	-0:54:49.58	22:01:14.41	28:18:32.4	Closed	off	
s0229.fits	TIC_283410775	20.0	Ks	Open	-0:54:11.94	22:01:14.34	28:18:30.6	Closed	off	
s0230.fits	TIC_283410775	20.0	Ks	Open	-0:53:33.47	22:01:14.39	28:18:30.3	Closed	off	
s0231.fits	TIC_283410775	20.0	Ks	Open	-0:52:55.90	22:01:14.35	28:18:33.2	Closed	off	
s0232.fits	TIC_283410775	20.0	Ks	Open	-0:52:18.29	22:01:14.38	28:18:30.1	Closed	off	
s0233.fits	TIC_283410775	20.0	Ks	Open	-0:51:39.71	22:01:14.35	28:18:30.8	Closed	off	
s0234.fits	TIC_283410775	20.0	Ks	Open	-0:51:02.12	22:01:14.36	28:18:30.7	Closed	off	
s0235.fits	TIC_283410775	20.0	Ks	Open	-0:50:24.49	22:01:14.40	28:18:29.7	Closed	off	
s0236.fits	TIC_283410775	15.0	Ks	Open	-0:47:29.37	22:01:14.09	28:18:31.1	Closed	off	
s0237.fits	TIC_283410775	15.0	Ks	Open	-0:45:08.39	22:01:14.09	28:18:31.6	Closed	off	
s0238.fits	TIC_283410775	15.0	Ks	Open	-0:44:34.55	22:01:14.10	28:18:32.2	Closed	off	
s0239.fits	TIC_283410775	15.0	Ks	Open	-0:44:00.77	22:01:14.10	28:18:32.0	Closed	off	
s0240.fits	TIC_283410775	15.0	Ks	Open	-0:43:27.82	22:01:14.08	28:18:32.1	Closed	off	
s0241.fits	TIC_283410775	15.0	Ks	Open	-0:42:53.92	22:01:14.10	28:18:31.6	Closed	off	
s0242.fits	TIC_283410775	15.0	Ks	Open	-0:42:21.00	22:01:14.08	28:18:31.9	Closed	off	
s0243.fits	TIC_283410775	15.0	Ks	Open	-0:41:47.23	22:01:14.11	28:18:31.8	Closed	off	
s0244.fits	TIC_283410775	15.0	Ks	Open	-0:41:14.34	22:01:14.08	28:18:32.0	Closed	off	
s0245.fits	TIC_283410775	15.0	Ks	Open	-0:40:39.50	22:01:14.08	28:18:31.9	Closed	off	
s0246.fits	TIC_283410775	15.0	Ks	Open	-0:40:06.75	22:01:14.08	28:18:33.5	Closed	off	
s0247.fits	TIC_283410775	15.0	Ks	Open	-0:39:16.17	22:01:14.29	28:18:34.8	Closed	off	
s0248.fits	TIC_283410775	15.0	Ks	Open	-0:38:42.33	22:01:14.33	28:18:34.2	Closed	off	
s0249.fits	TIC_283410775	15.0	Ks	Open	-0:38:07.59	22:01:14.28	28:18:33.9	Closed	off	
s0250.fits	TIC_283410775	15.0	Ks	Open	-0:37:34.61	22:01:14.28	28:18:34.5	Closed	off	
s0251.fits	TIC_283410775	15.0	Ks	Open	-0:37:00.82	22:01:14.33	28:18:34.7	Closed	off	
s0252.fits	TIC_283410775	15.0	Ks	Open	-0:36:27.90	22:01:14.29	28:18:33.9	Closed	off	
s0253.fits	TIC_283410775	15.0	Ks	Open	-0:35:55.04	22:01:14.31	28:18:34.7	Closed	off	
s0254.fits	TIC_283410775	15.0	Ks	Open	-0:35:20.21	22:01:14.34	28:18:34.6	Closed	off	
s0255.fits	TIC_283410775	15.0	Ks	Open	-0:34:47.34	22:01:14.33	28:18:34.8	Closed	off	
s0256.fits	TIC_283410775	15.0	Ks	Open	-0:34:13.47	22:01:14.27	28:18:34.4	Closed	off	
s0257.fits	TIC_283410775	15.0	Ks	Open	-0:33:12.41	22:01:14.31	28:18:29.1	Closed	off	
s0258.fits	TIC_283410775	15.0	Ks	Open	-0:32:39.50	22:01:14.34	28:18:28.9	Closed	off	
s0259.fits	TIC_283410775	15.0	Ks	Open	-0:32:05.73	22:01:14.29	28:18:28.1	Closed	off	
s0260.fits	TIC_283410775	15.0	Ks	Open	-0:31:31.88	22:01:14.25	28:18:29.7	Closed	off	
s0261.fits	TIC_283410775	15.0	Ks	Open	-0:30:58.01	22:01:14.32	28:18:30.6	Closed	off	
s0262.fits	TIC_283410775	15.0	Ks	Open	-0:30:24.17	22:01:14.33	28:18:28.0	Closed	off	
s0263.fits	TIC_283410775	15.0	Ks	Open	-0:29:51.26	22:01:14.32	28:18:28.6	Closed	off	
s0264.fits	TIC_283410775	15.0	Ks	Open	-0:29:16.48	22:01:14.30	28:18:28.5	Closed	off	
s0265.fits	TIC_283410775	15.0	Ks	Open	-0:28:43.58	22:01:14.32	28:18:29.3	Closed	off	
s0266.fits	TIC_283410775	15.0	Ks	Open	-0:28:09.68	22:01:14.28	28:18:27.7	Closed	off	
s0267.fits	TIC_283410775	15.0	Ks	Open	-0:26:59.72	22:01:13.83	28:18:29.9	Closed	off	
s0268.fits	TIC_283410775	15.0	Ks	Open	-0:26:26.86	22:01:13.87	28:18:28.3	Closed	off	
s0269.fits	TIC_283410775	15.0	Ks	Open	-0:25:52.13	22:01:13.85	28:18:29.3	Closed	off	
s0270.fits	TIC_283410775	15.0	Ks	Open	-0:25:19.23	22:01:13.84	28:18:28.5	Closed	off	
s0271.fits	TIC_283410775	15.0	Ks	Open	-0:24:45.38	22:01:13.87	28:18:28.9	Closed	off	
s0272.fits	TIC_283410775	15.0	Ks	Open	-0:24:12.51	22:01:13.80	28:18:28.8	Closed	off	
s0273.fits	TIC_283410775	15.0	Ks	Open	-0:23:37.70	22:01:13.83	28:18:28.0	Closed	off	
s0274.fits	TIC_283410775	15.0	Ks	Open	-0:23:05.75	22:01:13.85	28:18:27.7	Closed	off	
s0275.fits	TIC_283410775	15.0	Ks	Open	-0:22:30.91	22:01:13.87	28:18:28.5	Closed	off	
s0276.fits	TIC_283410775	15.0	Ks	Open	-0:21:58.09	22:01:13.87	28:18:28.3	Closed	off	
s0277.fits	TIC_283410775	15.0	Ks	Open	-0:20:57.93	22:01:13.85	28:18:35.0	Closed	off	
s0278.fits	TIC_283410775	15.0	Ks	Open	-0:20:25.01	22:01:13.84	28:18:35.9	Closed	off	
s0279.fits	TIC_283410775	15.0	Ks	Open	-0:19:50.25	22:01:13.87	28:18:34.7	Closed	off	
s0280.fits	TIC_283410775	15.0	Ks	Open	-0:19:17.37	22:01:13.85	28:18:35.6	Closed	off	
s0281.fits	TIC_283410775	15.0	Ks	Open	-0:18:43.52	22:01:13.86	28:18:34.9	Closed	off	
s0282.fits	TIC_283410775	15.0	Ks	Open	-0:18:10.59	22:01:13.84	28:18:35.4	Closed	off	
s0283.fits	TIC_283410775	15.0	Ks	Open	-0:17:35.80	22:01:13.82	28:18:34.7	Closed	off	
s0284.fits	TIC_283410775	15.0	Ks	Open	-0:17:02.94	22:01:13.90	28:18:35.2	Closed	off	
s0285.fits	TIC_283410775	15.0	Ks	Open	-0:16:29.11	22:01:13.87	28:18:35.0	Closed	off	
s0286.fits	TIC_283410775	15.0	Ks	Open	-0:15:56.20	22:01:13.86	28:18:34.2	Closed	off	
s0287.fits	TIC_283410775	15.0	J	Open	-0:13:51.39	22:01:14.09	28:18:32.1	Closed	off	
s0288.fits	TIC_283410775	15.0	J	Open	-0:11:09.76	22:01:14.05	28:18:30.8	Closed	off	
s0289.fits	TIC_283410775	15.0	J	Open	-0:09:36.67	22:01:14.07	28:18:23.9	Closed	off	
s0290.fits	TIC_283410775	30.0	J	Open	-0:08:43.97	22:01:14.10	28:18:24.3	Closed	off	
s0291.fits	TIC_283410775	30.0	J	Open	-0:07:26.00	22:01:14.13	28:18:21.7	Closed	off	
s0292.fits	TIC_283410775	30.0	J	Open	-0:06:26.77	22:01:14.09	28:18:21.6	Closed	off	
s0293.fits	TIC_283410775	30.0	J	Open	-0:05:27.64	22:01:14.09	28:18:23.9	Closed	off	
s0294.fits	TIC_283410775	30.0	J	Open	-0:04:27.45	22:01:14.11	28:18:24.4	Closed	off	
s0295.fits	TIC_283410775	30.0	J	Open	-0:03:28.27	22:01:14.09	28:18:23.2	Closed	off	
s0296.fits	TIC_283410775	30.0	J	Open	-0:02:28.12	22:01:14.08	28:18:24.3	Closed	off	
s0297.fits	TIC_283410775	30.0	J	Open	-0:01:27.95	22:01:14.09	28:18:24.2	Closed	off	
s0298.fits	TIC_283410775	30.0	J	Open	-0:00:28.69	22:01:14.09	28:18:23.8	Closed	off	
s0299.fits	TIC_283410775	30.0	J	Open	00:00:31.43	22:01:14.11	28:18:23.6	Closed	off	
s0300.fits	TIC_283410775	30.0	J	Open	00:01:31.62	22:01:14.10	28:18:23.4	Closed	off	
s0301.fits	TIC_283410775	30.0	J	Open	00:02:52.00	22:01:14.47	28:18:29.3	Closed	off	
s0302.fits	TIC_283410775	30.0	J	Open	00:03:51.25	22:01:14.45	28:18:28.2	Closed	off	
s0303.fits	TIC_283410775	30.0	J	Open	00:04:50.43	22:01:14.47	28:18:28.7	Closed	off	
s0304.fits	TIC_283410775	30.0	J	Open	00:05:50.57	22:01:14.44	28:18:29.5	Closed	off	
s0305.fits	TIC_283410775	30.0	J	Open	00:06:50.77	22:01:14.46	28:18:28.2	Closed	off	
s0306.fits	TIC_283410775	30.0	J	Open	00:07:50.02	22:01:14.43	28:18:28.4	Closed	off	
s0307.fits	TIC_283410775	30.0	J	Open	00:08:50.10	22:01:14.45	28:18:28.3	Closed	off	
s0308.fits	TIC_283410775	30.0	J	Open	00:09:49.28	22:01:14.44	28:18:28.4	Closed	off	
s0309.fits	TIC_283410775	30.0	J	Open	00:10:50.37	22:01:14.47	28:18:28.3	Closed	off	
s0310.fits	TIC_283410775	30.0	J	Open	00:11:49.61	22:01:14.46	28:18:27.6	Closed	off	
s0311.fits	TIC_283410775	30.0	J	Open	00:13:23.62	22:01:14.49	28:18:19.5	Closed	off	
s0312.fits	TIC_283410775	30.0	J	Open	00:14:22.84	22:01:14.44	28:18:20.1	Closed	off	
s0313.fits	TIC_283410775	30.0	J	Open	00:15:23.01	22:01:14.48	28:18:19.2	Closed	off	
s0314.fits	TIC_283410775	30.0	J	Open	00:16:22.24	22:01:14.43	28:18:18.7	Closed	off	
s0315.fits	TIC_283410775	30.0	J	Open	00:17:22.37	22:01:14.48	28:18:19.0	Closed	off	
s0316.fits	TIC_283410775	30.0	J	Open	00:18:22.54	22:01:14.43	28:18:18.2	Closed	off	
s0317.fits	TIC_283410775	30.0	J	Open	00:19:21.72	22:01:14.43	28:18:17.4	Closed	off	
s0318.fits	TIC_283410775	30.0	J	Open	00:20:21.97	22:01:14.45	28:18:19.3	Closed	off	
