# Radius () 	 Magnitude Contrast 	 Error
 0.363 	  3.535 	  0.000 
 0.726 	  4.747 	  0.628 
 1.089 	  5.455 	  0.820 
 1.452 	  5.657 	  0.365 
 1.815 	  5.960 	  0.153 
 2.178 	  6.061 	  0.209 
 2.541 	  6.162 	  0.131 
 2.904 	  6.061 	  0.122 
 3.267 	  6.111 	  0.147 
 3.630 	  6.162 	  0.119 
 3.993 	  6.162 	  0.135 
 4.356 	  6.263 	  0.195 
 4.719 	  6.364 	  1.086 
 5.082 	  6.465 	  0.803 
 5.445 	  6.717 	  1.262 
 5.808 	  7.879 	  1.068 
 6.171 	  8.384 	  0.973 
 6.534 	  8.182 	  0.853 
 6.897 	  8.333 	  0.729 
