# Radius () 	 Magnitude Contrast 	 Error
 0.330 	  2.424 	  0.875 
 0.660 	  3.636 	  0.898 
 0.990 	  3.737 	  0.382 
 1.320 	  2.222 	  0.143 
 1.650 	  2.323 	  1.299 
 1.980 	  2.929 	  1.723 
 2.310 	  3.081 	  1.828 
 2.640 	  2.727 	  2.325 
 2.970 	  3.333 	  1.543 
 3.300 	  3.838 	  0.956 
 3.630 	  5.101 	  1.249 
 3.960 	  5.758 	  1.287 
 4.290 	  7.828 	  0.357 
 4.620 	  nan 	  nan 
 4.950 	  nan 	  nan 
 5.280 	  nan 	  nan 
 5.610 	  nan 	  nan 
 5.940 	  nan 	  nan 
 6.270 	  nan 	  nan 
 6.600 	  nan 	  nan 
 6.930 	  nan 	  nan 
