# Radius () 	 Magnitude Contrast 	 Error
 0.495 	  2.323 	  0.058 
 0.990 	  3.838 	  1.156 
 1.485 	  3.535 	  1.810 
 1.980 	  4.495 	  1.523 
 2.475 	  6.263 	  1.403 
 2.970 	  5.909 	  0.813 
 3.465 	  5.960 	  0.486 
 3.960 	  5.960 	  0.357 
 4.455 	  6.061 	  0.907 
 4.950 	  6.263 	  0.712 
 5.445 	  6.313 	  1.135 
 5.940 	  7.172 	  1.136 
 6.435 	  7.576 	  0.808 
 6.930 	  7.626 	  0.651 
