# Radius () 	 Magnitude Contrast 	 Error
 0.231 	  2.020 	  0.000 
 0.462 	  3.030 	  0.625 
 0.693 	  4.848 	  0.905 
 0.924 	  5.202 	  1.201 
 1.155 	  5.859 	  0.986 
 1.386 	  6.667 	  0.963 
 1.617 	  7.172 	  0.657 
 1.848 	  7.323 	  0.593 
 2.079 	  7.374 	  0.735 
 2.310 	  7.576 	  0.548 
 2.541 	  7.626 	  0.330 
 2.772 	  7.727 	  0.255 
 3.003 	  7.626 	  0.228 
 3.234 	  7.576 	  0.226 
 3.465 	  7.576 	  0.213 
 3.696 	  7.576 	  0.154 
 3.927 	  7.677 	  0.523 
 4.158 	  7.677 	  0.284 
 4.389 	  7.677 	  0.221 
 4.620 	  7.879 	  0.494 
 4.851 	  7.727 	  0.141 
 5.082 	  7.778 	  0.310 
 5.313 	  7.879 	  0.264 
 5.544 	  7.929 	  0.241 
 5.775 	  7.980 	  0.359 
 6.006 	  7.879 	  0.217 
 6.237 	  7.980 	  0.479 
 6.468 	  8.182 	  0.359 
 6.699 	  7.980 	  0.877 
 6.930 	  8.081 	  0.233 
