# Radius () 	 Magnitude Contrast 	 Error
 0.363 	  3.737 	  0.000 
 0.726 	  4.495 	  0.779 
 1.089 	  5.960 	  1.402 
 1.452 	  6.566 	  0.699 
 1.815 	  7.071 	  0.601 
 2.178 	  6.869 	  0.684 
 2.541 	  7.172 	  0.681 
 2.904 	  7.071 	  0.498 
 3.267 	  7.273 	  0.319 
 3.630 	  7.525 	  0.248 
 3.993 	  7.677 	  0.278 
 4.356 	  7.778 	  0.318 
 4.719 	  7.879 	  0.439 
 5.082 	  7.879 	  0.645 
 5.445 	  7.929 	  0.731 
 5.808 	  8.182 	  0.614 
 6.171 	  8.687 	  0.611 
 6.534 	  8.838 	  0.673 
 6.897 	  8.990 	  0.611 
