# Radius () 	 Magnitude Contrast 	 Error
 0.528 	  2.323 	  0.000 
 1.056 	  5.202 	  1.199 
 1.584 	  5.253 	  0.947 
 2.112 	  5.758 	  0.641 
 2.640 	  5.859 	  0.232 
 3.168 	  5.960 	  0.121 
 3.696 	  5.960 	  0.105 
 4.224 	  6.061 	  0.164 
 4.752 	  6.263 	  0.394 
 5.280 	  6.414 	  0.907 
 5.808 	  7.374 	  0.975 
 6.336 	  7.879 	  1.079 
 6.864 	  8.485 	  0.950 
