# Radius () 	 Magnitude Contrast 	 Error
 0.297 	  1.717 	  0.175 
 0.594 	  2.525 	  2.241 
 0.891 	  6.162 	  0.440 
 1.188 	  3.990 	  1.357 
 1.485 	  3.636 	  1.515 
 1.782 	  3.434 	  1.716 
 2.079 	  4.141 	  1.688 
 2.376 	  3.990 	  2.040 
 2.673 	  3.990 	  2.306 
 2.970 	  5.253 	  2.495 
 3.267 	  5.657 	  2.003 
 3.564 	  6.465 	  1.480 
 3.861 	  7.374 	  1.262 
 4.158 	  7.727 	  1.109 
 4.455 	  7.677 	  0.954 
 4.752 	  7.576 	  0.569 
 5.049 	  7.525 	  0.433 
 5.346 	  7.172 	  0.387 
 5.643 	  7.374 	  0.637 
 5.940 	  7.071 	  0.289 
 6.237 	  7.273 	  0.712 
 6.534 	  7.172 	  0.598 
 6.831 	  8.030 	  1.331 
