# Radius () 	 Magnitude Contrast 	 Error
 0.561 	  2.424 	  0.000 
 1.122 	  5.657 	  1.506 
 1.683 	  5.960 	  1.007 
 2.244 	  6.162 	  0.459 
 2.805 	  6.263 	  0.440 
 3.366 	  6.364 	  0.297 
 3.927 	  6.566 	  0.173 
 4.488 	  6.566 	  0.121 
 5.049 	  6.667 	  0.460 
 5.610 	  7.020 	  0.900 
 6.171 	  7.980 	  1.091 
 6.732 	  8.485 	  0.850 
