# Radius () 	 Magnitude Contrast 	 Error
 0.264 	  1.717 	  0.058 
 0.528 	  2.323 	  0.790 
 0.792 	  9.899 	  0.000 
 1.056 	  5.101 	  1.357 
 1.320 	  5.960 	  1.704 
 1.584 	  4.141 	  1.478 
 1.848 	  3.485 	  1.883 
 2.112 	  4.141 	  1.958 
 2.376 	  4.545 	  3.036 
 2.640 	  3.939 	  1.906 
 2.904 	  4.545 	  1.780 
 3.168 	  4.747 	  1.396 
 3.432 	  5.657 	  1.720 
 3.696 	  5.859 	  0.981 
 3.960 	  6.768 	  0.620 
 4.224 	  7.071 	  0.684 
 4.488 	  7.475 	  0.702 
 4.752 	  8.283 	  0.662 
 5.016 	  8.939 	  1.071 
 5.280 	  8.384 	  nan 
 5.544 	  8.384 	  nan 
 5.808 	  8.889 	  nan 
 6.072 	  9.091 	  nan 
 6.336 	  9.394 	  nan 
 6.600 	  8.889 	  nan 
 6.864 	  nan 	  nan 
