# Radius () 	 Magnitude Contrast 	 Error
 0.165 	  2.828 	  0.000 
 0.330 	  2.828 	  1.459 
 0.495 	  4.141 	  0.855 
 0.660 	  5.354 	  0.969 
 0.825 	  5.404 	  0.990 
 0.990 	  5.657 	  1.056 
 1.155 	  6.061 	  1.270 
 1.320 	  6.414 	  0.832 
 1.485 	  6.465 	  0.856 
 1.650 	  6.970 	  0.931 
 1.815 	  7.172 	  0.681 
 1.980 	  7.071 	  0.752 
 2.145 	  7.121 	  0.508 
 2.310 	  7.121 	  0.515 
 2.475 	  7.222 	  0.442 
 2.640 	  7.222 	  0.389 
 2.805 	  7.071 	  0.260 
 2.970 	  7.121 	  0.297 
 3.135 	  7.071 	  0.298 
 3.300 	  7.071 	  0.227 
 3.465 	  7.071 	  0.190 
 3.630 	  7.071 	  0.216 
 3.795 	  6.970 	  0.203 
 3.960 	  6.919 	  0.196 
 4.125 	  6.869 	  0.195 
 4.290 	  6.970 	  0.225 
 4.455 	  7.071 	  0.285 
 4.620 	  7.121 	  0.226 
 4.785 	  7.071 	  0.332 
 4.950 	  7.071 	  0.610 
 5.115 	  7.020 	  0.525 
 5.280 	  7.071 	  0.502 
 5.445 	  7.172 	  0.422 
 5.610 	  7.172 	  0.341 
 5.775 	  7.172 	  0.624 
 5.940 	  7.121 	  0.468 
 6.105 	  7.172 	  0.202 
 6.270 	  7.273 	  0.337 
 6.435 	  7.172 	  0.516 
 6.600 	  7.576 	  0.399 
 6.765 	  7.424 	  0.913 
 6.930 	  7.071 	  0.154 
