# Radius () 	 Magnitude Contrast 	 Error
 0.264 	  1.717 	  0.292 
 0.528 	  2.525 	  1.911 
 0.792 	  4.141 	  0.895 
 1.056 	  4.798 	  0.851 
 1.320 	  5.152 	  0.699 
 1.584 	  5.354 	  0.481 
 1.848 	  5.455 	  0.214 
 2.112 	  5.556 	  0.165 
 2.376 	  5.657 	  0.126 
 2.640 	  5.657 	  0.154 
 2.904 	  5.657 	  0.153 
 3.168 	  5.657 	  0.147 
 3.432 	  5.657 	  0.119 
 3.696 	  5.657 	  0.109 
 3.960 	  5.657 	  0.311 
 4.224 	  5.758 	  0.800 
 4.488 	  5.657 	  0.371 
 4.752 	  5.758 	  0.972 
 5.016 	  5.758 	  0.471 
 5.280 	  5.859 	  0.813 
 5.544 	  5.859 	  1.039 
 5.808 	  5.859 	  0.571 
 6.072 	  6.313 	  1.434 
 6.336 	  7.020 	  1.219 
 6.600 	  8.283 	  1.400 
 6.864 	  7.576 	  1.371 
