night,target,tic_id,filter,frame_first,frame_last,exp_time_s,expose_per_posn,dither_posns,is_flat,notes,manual_veto
20241017,TIC_283410775,283410775,Ks,237,286,15.0,10.0,5.0,False,Around 8k. Just to be safe. brightness fluctuates a lot due to wind. AO lost during 271.,True
20241017,TIC_283410775,283410775,J,287,287,15.0,1.0,1.0,False,Try to get J and maybe comback for more Ks.6k. I see a closer and dimmer companion in J. Try to recenter the star,False
20241017,TIC_283410775,283410775,J,288,288,15.0,1.0,1.0,False,move didn't work,False
20241017,TIC_283410775,283410775,J,289,289,15.0,1.0,1.0,False,ok. now centered.,False
20241017,TIC_283410775,283410775,J,290,290,30.0,1.0,1.0,False,12k,False
20241017,TIC_283410775,283410775,J,291,340,30.0,10.0,5.0,False,almost all stayed below 15k,False
20241017,TOI-6158,,Ks,341,341,120.0,1.0,1.0,False,Try again. No,False
20241017,TIC_388814426,388814426,J,342,342,60.0,1.0,1.0,False,only 400. ,False
20241017,TIC_388814426,388814426,J,343,343,600.0,1.0,1.0,False,"5k, not bad. First time taking this long of an exposure. The wind was kind to me.",True
20241017,TIC_388814426,388814426,J,344,344,600.0,1.0,4.0,False,closing... Wind average 49mph>45mph closure,True
20240819,SkyFlat,,J,83,83,5.0,1.0,1.0,True,~8K counts,False
20240819,SkyFlat,,J,84,84,12.0,1.0,1.0,True,~20K counts,False
20240819,SkyFlat,,J,85,85,10.0,1.0,1.0,True,~16K counts,False
20240819,SkyFlat,,J,86,95,10.0,10.0,1.0,True,,False
20240819,SkyFlat,,Ks,96,96,30.0,1.0,1.0,True,8-9K counts,False
20240819,SkyFlat,,Ks,97,97,60.0,1.0,1.0,True,,False
20240819,SkyFlat,,Ks,98,107,60.0,10.0,1.0,True,,False
20240819,TIC_298559217,298559217,Ks,158,158,30.0,1.0,1.0,False,~10K counts,False
20240819,TIC_298559217,298559217,Ks,159,159,45.0,1.0,1.0,False,~30K counts; transparency/seeing variations?,False
20240819,TIC_298559217,298559217,Ks,160,160,30.0,1.0,1.0,False,Looks like potentially 2 additional objects,False
20240819,TIC_298559217,298559217,Ks,161,179,30.0,8.0,5.0,False,"163, 176-179 overexposed.  Looks like maybe a third object in the first dither?",True
20240819,TIC_298559217,298559217,Ks,180,180,20.0,1.0,1.0,False,,False
20240819,TIC_298559217,298559217,Ks,181,181,15.0,1.0,1.0,False,,False
20240819,TIC_298559217,298559217,Ks,182,225,15.0,11.0,4.0,False,191 overexposed,True
20240819,TIC_298559217,298559217,J,226,226,15.0,1.0,1.0,False,"Very underexposed, but is it just seeing fluctuations?",False
20240819,TIC_298559217,298559217,J,227,227,30.0,1.0,1.0,False,This looks better.  Fingers crossed.,False
20240819,TIC_298559217,298559217,J,228,257,30.0,6.0,5.0,False,,False
20240819,TIC_346416638,346416638,Ks,258,258,30.0,1.0,1.0,False,Overexposed,True
20240819,TIC_346416638,346416638,Ks,259,259,15.0,1.0,1.0,False,,False
20240819,TIC_346416638,346416638,Ks,260,289,15.0,6.0,5.0,False,"263,274-288 overexposed",True
20240819,TIC_346416638,346416638,Ks,290,290,10.0,1.0,1.0,False,Still a bit overexposed,True
20240819,TIC_346416638,346416638,Ks,291,291,8.0,1.0,1.0,False,,False
20240819,TIC_346416638,346416638,Ks,292,297,8.0,6.0,1.0,False,All overexposed.  Variable conditions driving me nuts,True
20240819,TIC_346416638,346416638,Ks,298,298,5.0,1.0,1.0,False,,False
20240819,TIC_346416638,346416638,Ks,299,338,5.0,10.0,4.0,False,,False
20240819,TIC_352409577,352409577,Ks,339,339,10.0,1.0,1.0,False,,False
20240819,TIC_352409577,352409577,Ks,340,429,10.0,18.0,5.0,False,,False
20240819,TIC_189571727,189571727,Ks,430,430,20.0,1.0,1.0,False,,False
20240819,TIC_189571727,189571727,Ks,431,431,45.0,1.0,1.0,False,Bit overexposed,True
20240819,TIC_189571727,189571727,Ks,432,432,35.0,1.0,1.0,False,Even more overexposed; clearly conditions are still variable.,True
20240819,TIC_189571727,189571727,Ks,433,433,25.0,1.0,1.0,False,,False
20240819,TIC_189571727,189571727,Ks,434,434,12.0,1.0,1.0,False,,False
20240819,TIC_189571727,189571727,Ks,435,509,12.0,15.0,5.0,False,,False
20240819,TIC_285181196,285181196,Ks,510,510,15.0,1.0,1.0,False,"Looks good, but taking another to be sure",False
20240819,TIC_285181196,285181196,Ks,511,511,15.0,1.0,1.0,False,,False
20240819,TIC_285181196,285181196,Ks,512,571,15.0,12.0,5.0,False,Binary!,False
20240819,TIC_285181196,285181196,J,572,572,15.0,1.0,1.0,False,,False
20240819,TIC_285181196,285181196,J,573,573,25.0,1.0,1.0,False,,False
20240819,TIC_285181196,285181196,J,574,608,25.0,7.0,5.0,False,,False
20240819,TIC_60922830,60922830,Ks,609,609,30.0,1.0,1.0,False,,False
20240819,TIC_60922830,60922830,Ks,610,610,15.0,1.0,1.0,False,,False
20240819,TIC_60922830,60922830,Ks,611,670,15.0,12.0,5.0,False,,False
20240819,TIC_313874586,313874586,Ks,671,671,5.0,1.0,1.0,False,,False
20240819,TIC_313874586,313874586,Ks,672,672,10.0,1.0,1.0,False,,False
20240819,TIC_313874586,313874586,Ks,673,762,10.0,18.0,5.0,False,Looks like a second object just at the edge of the FOV in the center position.,False
20240819,TIC_313874586,313874586,J,763,763,10.0,1.0,1.0,False,,False
20240819,TIC_313874586,313874586,J,764,853,10.0,18.0,5.0,False,,False
20240819,TIC_71038757,71038757,Ks,854,854,10.0,1.0,1.0,False,,False
20240819,TIC_71038757,71038757,Ks,855,899,10.0,9.0,5.0,False,"Doing a shorter sequence b/c approaching daylight. 874, 878-879, 889 overexposed",True
20240820,SkyFlat,,J,81,81,10.0,1.0,1.0,True,~18K counts,False
20240820,SkyFlat,,J,82,82,6.0,1.0,1.0,True,~12K,False
20240820,SkyFlat,,J,83,91,6.0,9.0,1.0,True,~12K,False
20240820,SkyFlat,,Ks,92,92,30.0,1.0,1.0,True,10k,False
20240820,SkyFlat,,Ks,93,93,45.0,1.0,1.0,True,16k,False
20240820,SkyFlat,,Ks,94,103,45.0,10.0,1.0,True,15k,False
20240820,TIC_233574265,233574265,J,190,190,15.0,1.0,1.0,False,? too low,True
20240820,TIC_233574265,233574265,J,191,191,45.0,1.0,1.0,False,3k,False
20240820,TIC_233574265,233574265,J,192,192,120.0,1.0,1.0,False,16k,False
20240820,TIC_233574265,233574265,J,193,207,100.0,3.0,5.0,False,"8-12k, dropped to 6k at the end, but still high SNR",False
20240820,TIC_283410775,283410775,J,208,208,120.0,1.0,1.0,False,"40k, way too high.",True
20240820,TIC_283410775,283410775,J,209,209,20.0,1.0,1.0,False,30k,False
20240820,TIC_283410775,283410775,J,210,210,9.0,1.0,1.0,False,20k,False
20240820,TIC_283410775,283410775,J,211,211,5.0,1.0,1.0,False,4k...,False
20240820,TIC_283410775,283410775,J,212,212,5.0,1.0,1.0,False,6k,False
20240820,TIC_283410775,283410775,J,213,213,9.0,1.0,1.0,False,6k,False
20240820,TIC_283410775,283410775,J,214,214,20.0,1.0,1.0,False,"25k, flucturaing conditions.",False
20240820,TIC_283410775,283410775,J,215,303,9.0,20.0,5.0,False,"8k to start, 10k, a couple ~15k, 235 20k, 238 2k, 30k at times, aborted the last position, too many overexposures.",True
20240820,TIC_427314633,427314633,J,304,304,9.0,1.0,1.0,False,1800,False
20240820,TIC_427314633,427314633,J,305,305,30.0,1.0,1.0,False,5k,False
20240820,TIC_427314633,427314633,J,306,306,60.0,1.0,1.0,False,8k,False
20240820,TIC_427314633,427314633,J,307,307,90.0,1.0,1.0,False,10k,False
20240820,TIC_427314633,427314633,J,308,322,90.0,3.0,5.0,False,"10k,15k, nice and stable",False
20240820,TIC_17540944,17540944,J,323,323,9.0,1.0,1.0,False,4k,False
20240820,TIC_17540944,17540944,J,324,324,20.0,1.0,1.0,False,6k,False
20240820,TIC_17540944,17540944,J,325,325,30.0,1.0,1.0,False,10k,False
20240820,TIC_17540944,17540944,J,326,365,30.0,8.0,5.0,False,8k-13k,False
20240820,TIC_192415411,192415411,Ks,366,366,30.0,1.0,1.0,False,10k. This one is really faint. Give it a try. Ok not as faint as we labeled. Shoulf be Rmag 13.7,False
20240820,TIC_192415411,192415411,Ks,367,367,30.0,1.0,1.0,False,8k,False
20240820,TIC_192415411,192415411,Ks,368,407,30.0,8.0,5.0,False,"10k,8k, 370 4k, 2 far companions seen (known)",False
20240820,TIC_441056236,441056236,Ks,408,408,10.0,1.0,1.0,False,close binaries of similar brightness. Ask operators to confirm we are looking at the correct target. Confirmed. It's hard to say which one is our primary star.,False
20240820,TIC_441056236,441056236,Ks,409,409,10.0,1.0,1.0,False,4k,False
20240820,TIC_441056236,441056236,Ks,410,410,20.0,1.0,1.0,False,12k,False
20240820,TIC_441056236,441056236,Ks,411,470,20.0,12.0,5.0,False,"15k seen once, mostly 8k-12k. The binaries are really close in Ks brightness. 429/440 20k",False
20240820,TIC_441056236,441056236,J,471,471,30.0,1.0,1.0,False,7k,False
20240820,TIC_441056236,441056236,J,472,472,45.0,1.0,1.0,False,11k,False
20240820,TIC_441056236,441056236,J,473,492,45.0,4.0,5.0,False,"13k, 474 20k,",False
20240820,TIC_89502706,89502706,Ks,493,493,20.0,1.0,1.0,False,10k,False
20240820,TIC_89502706,89502706,Ks,494,553,20.0,12.0,5.0,False,"8-12k, faint far companion at dithering 1",False
20240820,TIC_299496195,299496195,Ks,554,554,30.0,1.0,1.0,False,close binary again. Also very close in brightness in Ks. 4k,False
20240820,TIC_299496195,299496195,Ks,555,555,60.0,1.0,1.0,False,11k,False
20240820,TIC_299496195,299496195,Ks,556,575,60.0,4.0,5.0,False,mostly ok. the star in the northeast might be a double star? It looks double peaked. Definitely more elongated than the other one.,False
20240820,TIC_299496195,299496195,J,576,576,60.0,1.0,1.0,False,6k,False
20240820,TIC_299496195,299496195,J,577,586,90.0,2.0,5.0,False,12k,False
20240820,TIC_299496195,299496195,J,587,591,90.0,1.0,5.0,False,"Still have some time, doing another round",False
