# Radius () 	 Magnitude Contrast 	 Error
 0.099 	  3.030 	  0.000 
 0.198 	  1.818 	  0.649 
 0.297 	  3.030 	  0.799 
 0.396 	  3.485 	  0.996 
 0.495 	  3.535 	  1.346 
 0.594 	  4.545 	  0.944 
 0.693 	  4.747 	  1.144 
 0.792 	  5.455 	  0.882 
 0.891 	  5.253 	  0.791 
 0.990 	  5.455 	  0.691 
 1.089 	  6.162 	  1.093 
 1.188 	  6.414 	  0.682 
 1.287 	  6.566 	  0.860 
 1.386 	  6.768 	  0.769 
 1.485 	  6.970 	  0.707 
 1.584 	  7.172 	  0.684 
 1.683 	  7.273 	  0.582 
 1.782 	  7.273 	  0.542 
 1.881 	  7.374 	  0.538 
 1.980 	  7.323 	  0.507 
 2.079 	  7.374 	  0.516 
 2.178 	  7.424 	  0.463 
 2.277 	  7.525 	  0.324 
 2.376 	  7.576 	  0.269 
 2.475 	  7.626 	  0.284 
 2.574 	  7.576 	  0.269 
 2.673 	  7.576 	  0.268 
 2.772 	  7.677 	  0.303 
 2.871 	  7.677 	  0.270 
 2.970 	  7.576 	  0.267 
 3.069 	  7.626 	  0.226 
 3.168 	  7.677 	  0.178 
 3.267 	  7.677 	  0.185 
 3.366 	  7.677 	  0.244 
 3.465 	  7.677 	  0.271 
 3.564 	  7.677 	  0.250 
 3.663 	  7.677 	  0.248 
 3.762 	  7.677 	  0.222 
 3.861 	  7.677 	  0.159 
 3.960 	  7.677 	  0.244 
 4.059 	  7.626 	  0.230 
 4.158 	  7.677 	  0.323 
 4.257 	  7.626 	  0.249 
 4.356 	  7.778 	  0.252 
 4.455 	  7.677 	  0.284 
 4.554 	  7.778 	  0.347 
 4.653 	  7.677 	  0.299 
 4.752 	  7.677 	  0.189 
 4.851 	  7.677 	  0.185 
 4.950 	  7.828 	  0.210 
 5.049 	  7.879 	  0.266 
 5.148 	  7.980 	  0.514 
 5.247 	  7.879 	  0.319 
 5.346 	  7.879 	  0.234 
 5.445 	  7.778 	  0.404 
 5.544 	  7.778 	  0.220 
 5.643 	  7.778 	  0.620 
 5.742 	  7.828 	  0.261 
 5.841 	  7.929 	  0.680 
 5.940 	  7.879 	  0.303 
 6.039 	  8.081 	  0.357 
 6.138 	  8.182 	  0.557 
 6.237 	  7.879 	  0.622 
 6.336 	  7.929 	  0.251 
 6.435 	  8.232 	  0.573 
 6.534 	  8.232 	  0.240 
 6.633 	  8.081 	  0.334 
 6.732 	  8.283 	  0.254 
 6.831 	  9.596 	  0.933 
 6.930 	  7.475 	  nan 
