# Radius () 	 Magnitude Contrast 	 Error
 0.099 	  2.727 	  0.000 
 0.198 	  2.727 	  0.254 
 0.297 	  2.828 	  0.610 
 0.396 	  3.030 	  0.722 
 0.495 	  4.192 	  0.861 
 0.594 	  4.747 	  0.725 
 0.693 	  5.505 	  0.995 
 0.792 	  5.606 	  0.745 
 0.891 	  5.657 	  0.456 
 0.990 	  5.657 	  0.426 
 1.089 	  5.960 	  0.441 
 1.188 	  6.263 	  0.472 
 1.287 	  6.566 	  0.510 
 1.386 	  6.667 	  0.478 
 1.485 	  6.667 	  0.388 
 1.584 	  6.869 	  0.331 
 1.683 	  6.869 	  0.254 
 1.782 	  6.970 	  0.211 
 1.881 	  7.071 	  0.241 
 1.980 	  7.172 	  0.207 
 2.079 	  7.273 	  0.179 
 2.178 	  7.374 	  0.220 
 2.277 	  7.475 	  0.244 
 2.376 	  7.424 	  0.226 
 2.475 	  7.475 	  0.132 
 2.574 	  7.576 	  0.170 
 2.673 	  7.576 	  0.222 
 2.772 	  7.626 	  0.187 
 2.871 	  7.677 	  0.217 
 2.970 	  7.576 	  0.188 
 3.069 	  7.677 	  0.122 
 3.168 	  7.778 	  0.149 
 3.267 	  7.778 	  0.208 
 3.366 	  7.778 	  0.204 
 3.465 	  7.778 	  0.183 
 3.564 	  7.879 	  0.257 
 3.663 	  7.879 	  0.247 
 3.762 	  7.879 	  0.243 
 3.861 	  7.879 	  0.324 
 3.960 	  7.879 	  0.364 
 4.059 	  7.879 	  0.200 
 4.158 	  7.879 	  0.280 
 4.257 	  7.778 	  0.337 
 4.356 	  7.879 	  0.206 
 4.455 	  7.879 	  0.227 
 4.554 	  7.879 	  0.381 
 4.653 	  7.879 	  0.303 
 4.752 	  7.879 	  0.197 
 4.851 	  7.980 	  0.440 
 4.950 	  7.879 	  0.471 
 5.049 	  7.980 	  0.200 
 5.148 	  7.980 	  0.251 
 5.247 	  7.980 	  0.189 
 5.346 	  8.081 	  0.458 
 5.445 	  7.980 	  0.299 
 5.544 	  7.980 	  0.415 
 5.643 	  8.081 	  0.263 
 5.742 	  8.283 	  0.434 
 5.841 	  8.182 	  0.200 
 5.940 	  7.980 	  0.482 
 6.039 	  8.131 	  0.431 
 6.138 	  8.081 	  0.588 
 6.237 	  7.980 	  0.282 
 6.336 	  8.384 	  0.274 
 6.435 	  8.182 	  0.444 
 6.534 	  8.333 	  0.191 
 6.633 	  8.283 	  0.210 
 6.732 	  8.182 	  0.837 
 6.831 	  8.485 	  0.350 
 6.930 	  8.283 	  0.267 
