# Radius () 	 Magnitude Contrast 	 Error
 0.231 	  1.818 	  0.000 
 0.462 	  2.929 	  1.082 
 0.693 	  4.899 	  0.714 
 0.924 	  5.455 	  0.939 
 1.155 	  5.808 	  0.890 
 1.386 	  6.717 	  0.924 
 1.617 	  6.970 	  1.016 
 1.848 	  7.071 	  0.912 
 2.079 	  7.273 	  0.849 
 2.310 	  7.071 	  0.494 
 2.541 	  7.071 	  0.428 
 2.772 	  7.020 	  0.324 
 3.003 	  7.071 	  0.302 
 3.234 	  7.020 	  0.279 
 3.465 	  6.919 	  0.254 
 3.696 	  6.970 	  0.186 
 3.927 	  6.869 	  0.141 
 4.158 	  6.970 	  0.606 
 4.389 	  6.919 	  0.155 
 4.620 	  6.970 	  0.568 
 4.851 	  6.869 	  0.246 
 5.082 	  6.970 	  0.211 
 5.313 	  7.071 	  0.209 
 5.544 	  7.071 	  0.554 
 5.775 	  7.071 	  0.733 
 6.006 	  6.919 	  0.613 
 6.237 	  6.970 	  0.526 
 6.468 	  7.222 	  0.918 
 6.699 	  7.778 	  0.910 
 6.930 	  7.121 	  0.712 
