# Radius () 	 Magnitude Contrast 	 Error
 0.330 	  2.727 	  0.000 
 0.660 	  4.545 	  0.423 
 0.990 	  5.152 	  1.434 
 1.320 	  5.253 	  1.377 
 1.650 	  5.758 	  1.170 
 1.980 	  6.263 	  0.877 
 2.310 	  6.768 	  0.777 
 2.640 	  6.869 	  0.853 
 2.970 	  7.525 	  0.571 
 3.300 	  7.778 	  0.441 
 3.630 	  7.980 	  0.350 
 3.960 	  8.182 	  0.240 
 4.290 	  8.283 	  0.384 
 4.620 	  8.384 	  0.312 
 4.950 	  8.485 	  0.240 
 5.280 	  8.586 	  0.260 
 5.610 	  8.586 	  0.265 
 5.940 	  8.687 	  0.401 
 6.270 	  8.687 	  0.307 
 6.600 	  8.990 	  0.428 
 6.930 	  8.687 	  0.058 
