# Radius () 	 Magnitude Contrast 	 Error
 0.297 	  3.434 	  0.000 
 0.594 	  4.444 	  0.420 
 0.891 	  5.354 	  0.978 
 1.188 	  6.364 	  0.958 
 1.485 	  6.667 	  0.971 
 1.782 	  6.869 	  0.876 
 2.079 	  7.121 	  0.531 
 2.376 	  6.970 	  0.359 
 2.673 	  7.172 	  0.291 
 2.970 	  7.071 	  0.176 
 3.267 	  6.919 	  0.151 
 3.564 	  6.919 	  0.148 
 3.861 	  6.970 	  0.115 
 4.158 	  6.970 	  0.273 
 4.455 	  6.919 	  0.720 
 4.752 	  6.869 	  0.435 
 5.049 	  6.970 	  0.245 
 5.346 	  6.970 	  0.718 
 5.643 	  7.071 	  0.259 
 5.940 	  7.121 	  0.748 
 6.237 	  7.071 	  0.659 
 6.534 	  7.374 	  0.568 
 6.831 	  8.283 	  1.075 
