# Radius () 	 Magnitude Contrast 	 Error
 0.363 	  1.515 	  0.000 
 0.726 	  3.182 	  1.318 
 1.089 	  3.636 	  0.797 
 1.452 	  2.929 	  1.437 
 1.815 	  2.121 	  2.095 
 2.178 	  3.535 	  2.637 
 2.541 	  2.626 	  1.359 
 2.904 	  2.525 	  1.713 
 3.267 	  3.333 	  2.134 
 3.630 	  4.141 	  1.373 
 3.993 	  5.455 	  1.067 
 4.356 	  6.162 	  0.286 
 4.719 	  8.081 	  0.857 
 5.082 	  nan 	  nan 
 5.445 	  nan 	  nan 
 5.808 	  nan 	  nan 
 6.171 	  nan 	  nan 
 6.534 	  nan 	  nan 
 6.897 	  nan 	  nan 
