# Radius () 	 Magnitude Contrast 	 Error
 0.231 	  4.040 	  0.000 
 0.462 	  4.444 	  0.784 
 0.693 	  4.747 	  0.440 
 0.924 	  5.152 	  0.351 
 1.155 	  5.505 	  0.320 
 1.386 	  6.061 	  0.547 
 1.617 	  6.364 	  0.310 
 1.848 	  6.364 	  0.308 
 2.079 	  6.465 	  0.265 
 2.310 	  6.465 	  0.216 
 2.541 	  6.566 	  0.215 
 2.772 	  6.566 	  0.145 
 3.003 	  6.566 	  0.132 
 3.234 	  6.566 	  0.150 
 3.465 	  6.667 	  0.156 
 3.696 	  6.566 	  0.141 
 3.927 	  6.566 	  0.395 
 4.158 	  6.768 	  0.586 
 4.389 	  6.667 	  0.188 
 4.620 	  6.717 	  0.237 
 4.851 	  6.768 	  0.600 
 5.082 	  6.768 	  0.515 
 5.313 	  6.869 	  0.736 
 5.544 	  6.818 	  0.702 
 5.775 	  6.869 	  0.507 
 6.006 	  6.818 	  0.568 
 6.237 	  6.818 	  0.529 
 6.468 	  7.071 	  0.809 
 6.699 	  7.323 	  0.608 
 6.930 	  7.424 	  1.408 
