# Radius () 	 Magnitude Contrast 	 Error
 0.132 	  2.424 	  0.175 
 0.264 	  2.475 	  2.624 
 0.396 	  3.434 	  1.355 
 0.528 	  4.242 	  0.817 
 0.660 	  5.455 	  1.014 
 0.792 	  6.111 	  0.695 
 0.924 	  5.960 	  0.747 
 1.056 	  6.162 	  0.784 
 1.188 	  6.566 	  0.597 
 1.320 	  6.768 	  0.450 
 1.452 	  6.818 	  0.372 
 1.584 	  6.919 	  0.315 
 1.716 	  6.970 	  0.295 
 1.848 	  7.071 	  0.163 
 1.980 	  7.172 	  0.173 
 2.112 	  7.071 	  0.151 
 2.244 	  7.121 	  0.163 
 2.376 	  7.172 	  0.164 
 2.508 	  7.273 	  0.183 
 2.640 	  7.323 	  0.168 
 2.772 	  7.273 	  0.164 
 2.904 	  7.374 	  0.172 
 3.036 	  7.374 	  0.153 
 3.168 	  7.374 	  0.226 
 3.300 	  7.374 	  0.175 
 3.432 	  7.374 	  0.188 
 3.564 	  7.273 	  0.181 
 3.696 	  7.374 	  0.211 
 3.828 	  7.424 	  0.370 
 3.960 	  7.374 	  0.167 
 4.092 	  7.475 	  0.491 
 4.224 	  7.424 	  0.177 
 4.356 	  7.374 	  0.615 
 4.488 	  7.475 	  0.199 
 4.620 	  7.576 	  0.366 
 4.752 	  7.475 	  0.177 
 4.884 	  7.475 	  0.407 
 5.016 	  7.525 	  0.443 
 5.148 	  7.475 	  0.266 
 5.280 	  7.475 	  0.350 
 5.412 	  7.576 	  0.164 
 5.544 	  7.727 	  0.407 
 5.676 	  7.677 	  0.395 
 5.808 	  7.424 	  0.603 
 5.940 	  7.475 	  0.389 
 6.072 	  7.576 	  0.232 
 6.204 	  7.879 	  0.384 
 6.336 	  7.576 	  0.447 
 6.468 	  7.677 	  0.350 
 6.600 	  7.576 	  0.639 
 6.732 	  7.778 	  0.911 
 6.864 	  7.778 	  0.882 
 6.996 	  7.828 	  0.915 
