# Radius () 	 Magnitude Contrast 	 Error
 0.330 	  1.919 	  0.000 
 0.660 	  3.030 	  1.087 
 0.990 	  4.949 	  1.361 
 1.320 	  5.960 	  0.799 
 1.650 	  6.061 	  0.424 
 1.980 	  6.061 	  0.250 
 2.310 	  6.263 	  0.174 
 2.640 	  6.364 	  0.131 
 2.970 	  6.414 	  0.164 
 3.300 	  6.465 	  0.142 
 3.630 	  6.465 	  0.147 
 3.960 	  6.566 	  0.298 
 4.290 	  6.566 	  0.514 
 4.620 	  6.667 	  0.627 
 4.950 	  6.768 	  0.803 
 5.280 	  6.869 	  0.997 
 5.610 	  7.172 	  1.131 
 5.940 	  7.374 	  1.157 
 6.270 	  8.182 	  1.154 
 6.600 	  8.838 	  1.128 
 6.930 	  8.889 	  0.886 
