# Radius () 	 Magnitude Contrast 	 Error
 0.264 	  2.828 	  0.000 
 0.528 	  4.040 	  0.960 
 0.792 	  5.000 	  0.771 
 1.056 	  5.859 	  0.791 
 1.320 	  6.263 	  0.687 
 1.584 	  6.566 	  0.655 
 1.848 	  6.667 	  0.541 
 2.112 	  7.172 	  0.416 
 2.376 	  7.323 	  0.321 
 2.640 	  7.475 	  0.256 
 2.904 	  7.576 	  0.211 
 3.168 	  7.576 	  0.166 
 3.432 	  7.576 	  0.167 
 3.696 	  7.576 	  0.175 
 3.960 	  7.677 	  0.336 
 4.224 	  7.677 	  0.315 
 4.488 	  7.879 	  0.651 
 4.752 	  7.778 	  0.200 
 5.016 	  7.778 	  0.297 
 5.280 	  7.879 	  0.270 
 5.544 	  7.879 	  0.507 
 5.808 	  8.081 	  0.204 
 6.072 	  8.232 	  0.655 
 6.336 	  7.980 	  0.280 
 6.600 	  8.535 	  0.338 
 6.864 	  7.929 	  0.357 
