# Radius () 	 Magnitude Contrast 	 Error
 0.198 	  2.323 	  0.000 
 0.396 	  3.737 	  2.053 
 0.594 	  4.646 	  1.259 
 0.792 	  5.253 	  0.907 
 0.990 	  5.859 	  1.135 
 1.188 	  6.313 	  0.540 
 1.386 	  6.667 	  0.688 
 1.584 	  7.273 	  0.639 
 1.782 	  7.475 	  0.622 
 1.980 	  7.677 	  0.642 
 2.178 	  7.576 	  0.884 
 2.376 	  7.677 	  0.881 
 2.574 	  7.727 	  0.891 
 2.772 	  7.828 	  0.820 
 2.970 	  8.030 	  0.637 
 3.168 	  8.030 	  0.506 
 3.366 	  7.980 	  0.456 
 3.564 	  8.081 	  0.634 
 3.762 	  8.081 	  0.503 
 3.960 	  8.182 	  0.613 
 4.158 	  8.182 	  0.379 
 4.356 	  8.182 	  0.499 
 4.554 	  8.283 	  0.627 
 4.752 	  8.283 	  0.581 
 4.950 	  8.232 	  0.183 
 5.148 	  8.485 	  0.537 
 5.346 	  8.586 	  0.681 
 5.544 	  8.636 	  0.567 
 5.742 	  9.495 	  0.701 
 5.940 	  8.990 	  0.688 
 6.138 	  8.788 	  0.710 
 6.336 	  8.384 	  0.702 
 6.534 	  8.384 	  0.640 
 6.732 	  8.283 	  0.791 
 6.930 	  8.384 	  0.689 
